nom;Eau;Proteines;Glucides ;Lipides ;Sucres ;FibresAlimentaires;AG_satures ;Sel
Dorade rose, ou daurade rose, crue;-;21;traces;2;0;0;-;-
Rouget-barbet de roche, vapeur;69,6;24,1;traces;5,2;0;0;0,73;0,24
Saupe, crue;78;18;traces;2,5;0;0;-;-
Chinchard, cru;78;19;traces;4,42;0;0;2,31;-
Églefin, cru;80,4;17,3;traces;0,35;0;0;0,098;0,16
Congre, cru;73,2;18,3;traces;4,6;0;0;-;0,13
Grenadier (de roche), cru;82,7;15,4;traces;0,81;0;0;0,11;0,24
Lieu jaune ou colin, cru;80,8;17,7;traces;0,51;0;0;0,07;0,29
Julienne ou Lingue, crue;79,3;19,2;traces;0,44;0;0;0,11;0,26
Tacaud, cru;78,9;19,7;traces;0,33;0;0;0,098;0,2
Lieu noir, cru;79,4;18,8;traces;0,8;0;0;0,15;0,2
Limande-sole, crue;80;17;traces;1,4;0;0;0,2;0,24
Foie de morue, cru;26,8;5;traces;66,6;0;0;14;1,47
Vivaneau, cru;78;20,5;traces;1,34;0;0;0,29;0,16
Sabre, cru;74,8;18;traces;5,9;0;0;0,94;0,28
Flétan du Groënland ou flétan noir ou flétan commun, cru;72,3;13,5;traces;12,7;0;0;2,32;0,43
Carangue, cru;-;19,9;traces;2,7;0;0;-;0,22
Coulirou, cru;-;17,5;traces;0,1;0;0;-;0,15
Saumon, cru, sauvage;68,4;21;traces;9,17;0;0;1,92;0,12
Requin, cru;73,6;20,8;traces;2,91;0;0;0,48;0,2
Orphie commune, crue;70,1;20;traces;5,91;0;0;1,81;0,21
Lompe, crue;74,6;10;traces;14,2;0;0;3,01;0,17
Brème, cru;77;16,9;traces;4;0;0;0,78;0,11
Omble chevalier, cru;77,6;19,8;traces;2,7;0;0;2,2;0,14
Loup tacheté, cru;78,2;16,3;traces;4,8;0;0;0,96;0,26
Sprat, cru;66,7;19,8;traces;11,9;0;0;3,32;-
Turbot, cru;79,2;17,9;traces;1,55;0;0;0,19;0,23
Corégone lavaret, cru;74,7;20,5;traces;3,72;0;0;0,61;0,13
Mérou, cru;78,6;18,6;traces;0,86;0;0;0,2;0,13
Lingue bleue ou Lingue, crue;79,6;18,9;traces;0,44;0;0;0,095;0,23
Sole tropicale ou Sole langue, crue;82,3;15,7;traces;0,58;0;0;0,18;0,35
Turbot d'élevage, cru;76,5;18,3;traces;3,94;0;0;0,57;0,19
Bar commun ou loup (Méditerranée), cru, sauvage;76,8;20,1;traces;1,94;0;0;0,49;0,18
Bar commun ou loup (Méditerranée), cru, élevage;72,8;21,4;traces;4,25;0;0;1,04;0,12
Baudroie rousse ou Lotte, crue;81,5;16,7;traces;0,37;0;0;0,084;0,32
Sébaste du nord, ou grand sébaste, ou dorade sébaste, ou daurade sébaste, crue;78,4;18,8;traces;1,6;0;0;0,31;0,18
Hoki, tout lieu de pêche, cru;78,7;17,8;traces;2,36;0;0;0,53;0,18
Grenadier bleu ou hoki de Nouvelle-Zélande, cru;82,8;15,6;traces;1,46;0;0;0,26;0,14
Grondin perlon, cru;76,3;20,3;traces;1,79;0;0;-;0,14
Merlu blanc du Cap, surgelé, cru;-;16,1;traces;1,52;0;0;0,51;0,28
Chinchard maigre, cru;77,4;18,7;traces;2,42;0;0;0,66;0,16
Chinchard gras, cru;71,7;19,6;traces;7,66;0;0;1,79;0,14
Hareng maigre, cru;76,2;18,3;traces;4,22;0;0;0,83;0,19
Hareng gras, cru;68,3;18,7;traces;10,8;0;0;2,23;0,13
Joëls (petits poissons entiers) pour friture, crus;-;17,5;traces;2,1;0;0;0,4;0,27
Empereur, filet, sans peau, cru;-;15;traces;1,5;0;0;0,3;0,21
Rouget-barbet, filet avec peau, surgelé, cru (Thaïlande, Sénégal…);-;16,3;traces;3,5;0;0;0,9;0,2
Carpe, crue, élevage;77,3;17,7;traces;4,76;0;0;1,28;0,077
Truite d'élevage, crue;73,9;19,3;traces;6,22;0;0;1,25;0,1
Truite arc en ciel, crue, élevage;74;19;traces;6,24;0;0;1,15;0,11
Perche, crue;79,7;17,9;traces;1,19;0;0;0,28;0,14
Brochet, cru;79,1;18,8;traces;0,94;0;0;0,26;0,13
Esturgeon, cru;74,5;17,7;traces;5,84;0;0;1,34;0,12
Anguille, crue;62,1;16,1;traces;18,6;0;0;3,89;0,16
Pangasius ou Poisson-chat, cru;83,8;13,5;traces;1,27;0;0;0,47;0,68
Tilapia, cru;78,5;18,1;traces;2,13;0;0;0,56;0,071
Truite saumonée, crue;74,2;19,2;traces;7,4;0;0;1,2;0,2
Lotte de rivière, crue;80,6;17,8;traces;0,66;0;0;0,17;0,22
Sandre, cru;78,4;18,3;traces;1,08;0;0;0,21;0,12
Perche du Nil, crue;79;19,1;traces;0,68;0;0;0,22;0,14
Bigorneau, cuit;74,9;16,3;-;3,5;-;0;0,26;0,48
Coquille Saint-Jacques, noix et corail, cuite;73;20,2;3,22;1,77;0,3;0;0,32;0,46
Crevette grise, cuite;74,7;18,3;1,47;1,2;-;0;0,31;1,15
Crevette, cuite;74,9;19;1,87;1,16;< 0,25;0;0,31;1,35
Homard, bouilli/cuit à l'eau;76,5;19,6;0,11;1,32;0;0;0,21;0,9
Moule, bouillie/cuite à l'eau;74,1;17,2;5,12;2,09;-;0;0,37;0,8
Bulot ou Buccin, cuit;74,1;20,7;2,69;0,47;traces;0;0,072;0,97
Langouste, bouillie/cuite à l'eau;-;21,8;1,3;1,52;0;0;0,26;0,46
Crabe ou Tourteau, bouilli/cuit à l'eau;72,3;19,5;1,79;4,29;0;0;0,55;1,23
Clam, Praire ou Palourde, bouilli/cuit à l'eau;74,1;16,2;5,33;1,48;0;0;0,14;1,56
Écrevisse, cuite;81,6;16,3;0,56;0,7;< 0,25;0;0,17;0,21
Crevette rose bouquet, cuite;74,6;22,8;-;1,27;-;0;0,22;0,47
Calmar ou calamar ou encornet, bouilli/cuit à l'eau;61,1;32,5;1,64;1,4;-;0;0,24;1,86
Fruits de mer (aliment moyen);74;18,9;3,06;1,76;0,12;0,00092;0,35;1,1
Langoustine, bouillie/cuite à l'eau;76,3;20,9;-;0,98;-;0;0,14;0,67
Araignée de mer, cuite;75,3;18,3;-;3,8;-;0;1,14;0,96
Crevette pattes blanches, cuite;73,9;22,6;-;0,96;-;0;0,23;1,82
Crevette géante tigrée, cuite;73,5;23,4;-;0,98;-;0;0,19;1,43
Crevette royale rose, cuite;71,2;26,6;-;1,18;-;0;0,25;0,34
Poulpe, cuit;60,5;29,8;4,4;2,08;0;0;0,45;1,15
Fruits de mer, cuits, surgelés;-;13,5;2,83;1,57;0;0;0,45;0,99
Calmar ou calamar ou encornet, frit ou poêlé avec matière grasse;64,5;17,9;8,45;7,48;-;0;1,88;0,77
Escargot, sans matière grasse ajoutée, cuit;78,8;16,6;0,23;1,4;< 0,3;0;0,31;0,27
Grenouille, cuisse, grillée/poêlée;76,7;21,9;-;0,9;-;0;0,3;0,22
Calmar ou calamar ou encornet, cru;80,9;14,4;2,17;1,19;0;0;0,28;0,61
Coquille Saint-Jacques, noix et corail, crue;79,3;17;0,78;1,31;0,5;0;0,19;0,48
Escargot, cru;79,1;16,1;1,29;0,92;0;0;0,19;0,35
Homard, cru;77,9;17,9;0,94;1,15;0;0;0,13;0,9
Huître, sans précision, crue;83,3;8,64;3,86;1,91;traces;0;0,34;1,45
Moule commune, crue;82,7;11,2;2,69;1,82;0;0;0,45;0,85
Langouste, crue;78,6;17,7;1,07;1,34;0;0;0,25;0,45
Seiche, crue;80,6;16,2;0,51;1,05;0;0;0,35;0,93
Clam, Praire ou Palourde, cru;81,1;11,5;2,66;2,65;0,16;0;0,21;0,82
Poulpe, cru;85,4;12,9;0,97;0,5;0;0;0,16;0,68
Bulot ou Buccin, cru;66;23,8;7,61;0,57;0;0;0,031;0,52
Crevette, crue;74,3;19,7;3,21;0,84;0;0;0,19;0,45
Langoustine, crue;76,5;19,1;1,53;0,79;0;0;0,21;0,72
Moule de Méditerranée, crue;83,7;10,7;2,77;1,67;-;0;-;-
Écrevisse, crue;82,6;14,8;0,81;0,64;0;0;0,11;0,39
Huître creuse, crue;83,3;8,64;3,86;1,91;0;0;0,34;1,41
Huître plate, crue;85,7;10,2;1,16;0,9;0;0;0,17;1,28
Crevette, surgelée, crue;-;23,4;0,74;0,9;-;< 0,5;0,17;0,6
Crabe, cru;75,7;19,5;0,027;2,86;0;0;0,47;0,69
Ormeau, cru;74,6;14,4;8,69;0,83;0;0;0,15;0,47
Coquille Saint-Jacques, noix, crue;78,7;17,9;1,15;0,84;0;0;0,094;0,34
Pecten d'Amérique ou Peigne du canada, noix, crue;78,7;17,3;1,78;0,54;-;0;-;-
Pétoncle ou Peigne du Pérou, noix, crue;-;17,5;3,1;0,7;0;0;0,3;0,38
Crevette rose, crue;76,3;21,9;0;0,53;-;0;0,11;0,3
Grenouille, cuisse, crue;82;16,2;0,66;0,28;0;0;0,073;0,14
Rillettes de crabe, préemballées;-;12,2;3,5;13,6;1,6;3,5;1,1;1,11
Rillettes de poisson, préemballées;59,9;13,9;0,3;20,7;0,3;0;4,24;0,96
Rillettes de saumon, préemballées;62,8;15,1;2;18,4;0,9;1,6;2,4;1,3
Rillettes de thon, préemballées;63,5;16,4;1,65;13,8;1,2;1,4;1,1;1,24
Rillettes de maquereau, préemballées;-;11;1;22;0;0;-;-
Terrine de poisson, préemballée;66,5;11;5,5;11,4;0,2;1,4;4;1,25
Terrine de fruits de mer, avec ou sans poisson, préemballée;68,4;8,4;6,5;14;1,2;1,3;3,4;1,48
Tarama, préemballé;30;6,75;3,19;54,8;0,75;0,74;4,61;1,69
Calmar ou Calamar ou encornet, à la romaine (beignet);51,5;8,69;21,2;14,4;2,58;1,66;1,77;2,13
Crabe, miettes et ou pattes décortiquées, appertisé, égoutté;72,4;14,8;8,72;1,8;0,6;< 0,33;0,23;1,59
Langoustine, panée, frite;44,6;10,9;29;13,6;traces;traces;1,5;1,65
Beignet de crevette;54,2;6,5;26;10;11;1;0,5;1,9
Moule, appertisée, égouttée;75,1;14,6;5,93;2,2;0,5;0;0,54;1,6
Escargot en sauce au beurre persillé, préemballé, cuit;57,2;12,9;2,26;23,7;1,02;1,69;14,8;1,66
Moules à la sauce catalane ou escabèche (tomate), appertisée, égouttée;-;12,5;5;7,9;3,7;2;0,91;1,73
Accra de poisson;49,5;12,4;15,1;17,6;2,55;3;2,3;1,24
Carpaccio de saumon avec marinade;64,3;19,8;0,22;12,7;0;0;2,44;0,098
Maquereau, filet grillé, appertisé, nature, égoutté;59,9;19,7;0,55;18,3;-;0;4,27;0,84
Anchois, filets roulés aux câpres, semi-conserve, égoutté;-;24,8;1,48;10,3;-;< 1;0,86;-
Anchois, filets à l'huile, semi-conserve, égoutté;55,1;26,4;< 0,2;8,45;0;< 0,25;3,08;11,3
Carrelet ou plie, pané, frit;58,5;13,4;8,86;16,8;-;1;2;0,66
Oeufs de lompe, semi-conserve;76;10,4;1;7,27;0;0;1,97;4,87
Caviar, semi-conserve;-;25;traces;17,1;traces;0;3,21;-
Hareng mariné ou rollmops;64,7;13,7;8;13,8;1,9;0;2,51;2,56
Limande-sole, panée, frite;60,5;16,7;11,9;10,2;1;0;1,3;0,69
Pilchard, sauce tomate, appertisé, égoutté;70,1;13;3,99;11;1;0;2,35;1
Poisson, croquette ou beignet ou nuggets, frit;50,5;13,2;18,4;13,7;1,6;2,5;1,69;1,04
Poisson pané, surgelé, cru;64,8;11;16,1;5,73;2,2;0,9;1,3;0,69
Poisson pané, frit;62,2;11,9;13,4;10;1,1;0,9;2,15;0,84
Sardine, à l'huile, appertisée, égouttée;60,5;24,4;0,49;12;0;0;2,56;0,75
Sardine, sauce tomate, appertisée, égouttée;64,9;20,2;1,38;11,6;0,7;1,05;3,04;0,7
Thon, au naturel, appertisé, égoutté;72,7;26,8;0;0,4;0;0;0,086;0,74
Sardine, à l'huile d'olive, appertisée, égouttée;60,1;24,3;1,06;11,2;0;0;3,13;0,73
Surimi, bâtonnets, tranche ou râpé saveur crabe;72,5;8,31;11,8;4,92;2,1;< 0,33;0,46;1,58
Oeufs de cabillaud, fumés, semi-conserve;67;26,9;0,1;4,2;-;0;0,56;0,73
Thon germon ou thon blanc, cuit à la vapeur sous pression;64;30;0;5,06;-;0;1,35;0,1
Maquereau, filet sauce tomate, appertisé, égoutté;61,9;17,7;1,94;16,3;0,94;1,02;2,92;0,64
Maquereau, filet sauce moutarde, appertisé, égoutté;61,7;20,8;1,09;14,2;0,8;0,58;3,92;1,01
Maquereau, filet au vin blanc, appertisé, égoutté;64,4;17,8;2,25;14,1;0,5;0;2,92;0,97
Saumon, appertisé, égoutté;68,5;20,5;1,5;10,2;-;0;1,68;1,22
Maquereau, au naturel, appertisé, égoutté;65,7;21,6;0;11,4;0;0;2,73;1,21
Merlan, pané;62,6;12,6;13;9,57;1,7;0,9;1,1;0,64
Foie de morue, appertisé, égoutté;45,7;7,25;1,1;44,4;-;0;6,87;1,12
Oeufs de truite, semi-conserve;58,7;26,3;-;9,5;< 0,2;0;1,65;2,68
Anchois au sel (anchoité, semi-conserve);-;25;0;3,1;0;0;0,82;9,01
Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté;59,3;31,3;1,01;6,95;0;0;1,41;0,67
Thon à l'huile de tournesol, entier, appertisé, égoutté;62,1;23,3;0,76;12,2;-;0;1,34;0,93
Thon albacore ou thon jaune, au naturel, appertisé, égoutté;68,5;26,6;0,58;1,98;< 0,094;< 1,5;0,71;0,71
Maquereau, mariné;66,6;16,3;traces;13,3;-;0;-;2,29
Anchois commun, mariné, préemballé;60,2;23,9;2,7;3,26;0;0;1,04;5,58
Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés;61,4;21,5;0,62;13,9;0;0;3,16;0,7
Surimi, fourré au fromage;72,3;6,6;9,24;9,3;2,8;< 1;3,84;1,72
Thon à la tomate, miettes, appertisées, égouttées;-;14,6;4,33;5,93;3,33;0,58;0,83;1,22
Thon, à la catalane ou à l'escabèche (sauce tomate), appertisé;-;10,8;5,05;8,6;2,93;< 1,5;0,67;1
Thon à l'huile de tournesol, miettes, appertisées, égouttées;60,9;23,4;0;14,8;< 0,25;0;1,62;0,85
Oeufs de saumon, semi-conserve;49;30,8;1,5;10,5;< 0,2;0;2,05;2,34
Oeuf, blanc (blanc d'oeuf), cuit;87,8;10,3;1,12;0,17;0,7;0;0;0,39
Oeuf, jaune (jaune d'oeuf), cuit;50,3;16;1,31;30,1;0,55;0;8,49;0,035
Oeuf, dur;76,5;13,5;0,52;8,62;0,52;0;2,55;0,31
Oeuf, poché;75,9;12,5;0,71;9,47;0,37;0;2,99;0,2
Oeuf, à la coque;76;12,2;1,08;9,82;0,77;0;2,95;0,2
Oeuf, au plat, frit, salé;67,9;14,3;0,74;16;0,4;0;4,21;0,36
Oeuf, brouillé, avec matière grasse;76,4;9,99;1,62;11;1,43;0;3,33;0,36
Oeuf, au plat, sans matière grasse;74,6;13,8;1,01;9,72;-;0;2,71;0,4
Oeuf, cru;76,3;12,7;0,27;9,83;0,27;0;2,64;0,31
Oeuf, blanc (blanc d'oeuf), cru;87,6;10,8;0,85;0,19;0,71;0;0;0,42
Oeuf, jaune (jaune d'oeuf), cru;55;15,5;1,09;26,7;0,56;0;8,47;0,048
Oeuf de caille, cru;74,4;13,1;0,41;11,1;0,4;0;3,56;0,35
Oeuf de cane, cru;70,8;13;1,31;13,8;0,93;0;3,68;0,37
Oeuf d'oie, cru;70,4;13,8;1,4;13,3;0,94;0;3,6;0,35
Oeuf de dinde, cru;72,5;13,7;1,13;11,9;1;0;3,63;0,38
Oeuf, jaune (jaune d'oeuf), en poudre;2,87;34,1;2,77;57;0,07;0;17,6;0,37
Oeuf, blanc (blanc d'oeuf), en poudre;5,8;81,2;7,73;0;5,4;0;0;3,2
Oeuf, en poudre;3,39;47,9;3,11;42;0,3;0;13,1;1,25
Omelette au fromage;58,5;17,7;2,56;19,3;0,4;0;10,1;0,58
Omelette aux lardons;61,1;12,5;1,46;23,5;0,68;0;9,41;0,98
Omelette aux champignons;79;8,09;2,28;9,2;0,7;0,45;2,97;0,35
Omelette aux fines herbes;75,7;9,5;1,98;11,2;0,8;0,55;3,6;0,43
Tortilla espagnole aux oignons (omelette aux pommes de terre et oignons), préemballée;67,8;5,56;11,7;9,9;1,22;2,7;1,55;1,06
Omelette, garnitures diverses : légumes, fromages, viandes... (aliment moyen);68,9;9,82;5,07;13,5;0,81;1;4,84;0,71
Protéine de soja texturée, réhydratée;62,8;20,4;7,03;2,9;3,65;5,61;0,47;< 0,013
Tofu nature, préemballé;73,8;14,7;2,87;8,5;0,57;< 0,5;1,35;0,025
Tofu fumé, préemballé;70,3;16,4;2,91;9,5;0,85;< 0,5;1,53;0,74
Bouchées ou émincé végétal au soja et blé (convient aux véganes ou végétaliens), préemballé;61,2;21,3;6,76;3,7;2,57;4,86;0,66;1,68
Bouchées ou émincé au soja et blé  (ne convient pas aux véganes ou végétaliens), préemballé;58,9;19,3;8,19;7;2,07;5,24;0,55;1,24
Seitan, préemballé;67,8;20,6;6,74;2,5;0,81;0,9;0,38;1,13
Lait entier, UHT;87,5;3,25;4,85;3,63;4,2;0;2,4;0,11
Lait entier, pasteurisé;89,1;3,23;3,47;3,3;-;0;2,16;0,2
Lait demi-écrémé, UHT, enrichi en vitamine D seulement;89,4;3,31;4,8;1,52;4,5;0;0,98;0,09
Lait à 1,2% de matière grasse, UHT, enrichi en plusieurs vitamines;89,7;3,31;4,79;1,25;4,5;0;0,81;0,088
Lait, teneur en matière grasse inconnue, UHT (aliment moyen);89,4;3,32;4,82;1,59;4,62;0;1,06;0,092
Lait demi-écrémé, UHT;89,4;3,31;4,83;1,55;4,66;0;1,04;0,09
Lait demi-écrémé, pasteurisé;89,4;3,13;4,9;1,54;4,81;0;1,06;0,078
Lait écrémé, UHT;90,9;3,44;4,64;0,06;4,64;0;0,03;0,098
Lait écrémé, pasteurisé;90,8;3,21;4,99;0,19;4,93;0;0,11;0,11
Lait demi-écrémé (ou à teneur en matière grasse légèrement inférieure) à teneur réduite en lactose;89,7;3,38;4,69;1,29;4,66;0;0,86;0,088
Lait de chèvre, entier, UHT;87;3,33;4,35;2,83;4,35;0;1,8;0,13
Lait de chèvre, demi-écrémé, UHT;89,6;3,69;4,13;1,57;4,13;0;1,06;0,15
Lait de chèvre, entier, cru;88,7;3,15;4,01;3,2;4,01;0;2,16;0,091
Lait de jument, entier;89,2;2,36;6,18;1,73;-;0;0,82;0,05
Lait de brebis, entier;82,2;5,56;4,5;6,97;4,5;0;4,8;0,11
Lait en poudre, entier;2,4;26,9;37,5;26,8;37,5;0;17,3;0,9
Lait concentré non sucré, entier;74,5;6,31;9,91;5,9;9,47;< 3;3,96;0,24
Lait concentré sucré, entier;27,2;7,54;55,6;7,87;55,6;0;5,17;0,21
Lait en poudre, demi-écrémé;2,47;30,8;43,4;17,5;43,4;0;11,6;0,78
Lait en poudre, écrémé;1,95;34,6;54;0,7;53,1;0;0,34;1,21
Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, avec édulcorants, allégé en sucres, 0% MG, au L Casei;-;2,84;3,64;0,1;3,56;0,35;0,018;0,11
Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré;82,4;2,92;11,6;1,4;11,3;0,028;0,95;0,08
Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, au L Casei;-;2,75;12,7;1,52;12,5;0,033;1,05;0,1
Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, enrichi en vitamine D;-;3,02;12,6;1,2;12;traces;0,74;0,091
Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré;-;3,03;13,1;1,69;12,8;0,079;1,06;0,12
Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré, enrichie en vitamine D;-;2,97;13,9;1,5;13,5;0,11;0,97;0,1
Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei;83,4;2,7;12,9;1,6;12,9;< 0,05;1,05;0,1
Lait fermenté ou spécialité laitière type yaourt, aromatisé, sucré, au bifidus;78,4;3,75;11,5;3,1;11,5;< 3;2,11;0,1
Lait fermenté ou spécialité laitière type yaourt, aux fruits, avec édulcorants, 0% MG, au bifidus;-;4,58;6,71;0,094;6,37;1,08;0,039;0,18
Lait fermenté ou spécialité laitière type yaourt, aux fruits, sucré, au bifidus;78;3,5;13;3,01;12,9;0,65;2;0,14
Lait fermenté ou spécialité laitière type yaourt, aux fruits, 0% MG, avec édulcorants, aux esters de stérol;-;3,8;6,6;0,5;5,7;0,45;0,1;0,16
Lait fermenté ou spécialité laitière type yaourt, nature, 0% MG, au bifidus;-;4,3;5,75;0,3;5,75;0;0,17;0,14
Lait fermenté ou spécialité laitière type yaourt, nature, au bifidus;87,2;3,77;3,47;3,6;3,32;< 0,18;2,3;0,12
Lait fermenté ou spécialité laitière type yaourt, sur lit de fruits, sucré, au bifidus;-;3,73;13,3;2,72;12,6;0,78;1,8;0,15
Yaourt à la grecque, au lait de brebis;85,7;3,76;4,99;3,4;2,6;0;2,38;0,0079
Yaourt à la grecque, sur lit de fruits;75,2;2,27;16,3;6,3;15;0,38;4,45;0,098
Yaourt au lait de brebis, aromatisé, sucré;80;4,94;9,33;3,7;8,3;0;2,52;0,12
Yaourt au lait de brebis, nature, 3% MG environ;-;5,6;4,6;3;2,8;0,13;2,2;0,12
Yaourt au lait de chèvre, nature, 5% MG environ;86,2;4,06;1,12;5,2;1,12;< 3;3,52;0,09
Yaourt, lait fermenté ou spécialité laitière sur lit de fruits, sucré;79,8;2,89;15,2;3,91;14,6;0,42;2,51;0,099
Yaourt, lait fermenté ou spécialité laitière, aux céréales, 0% MG;86,1;4,53;8,25;1,08;6,78;0,3;0,5;0,17
Yaourt, lait fermenté ou spécialité laitière, aromatisé, avec édulcorants, 0% MG;85,2;4,44;8,29;0,06;4,23;traces;0,038;0,15
Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré;79,8;3,35;12,2;2,6;12,1;0,17;1,75;0,15
Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, à la crème;77,6;3,02;13,4;5,45;12,4;0,083;4,18;0,093
Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, enrichi en vitamine D;79,5;3,36;13,6;1,79;12,9;0,075;1,22;0,11
Yaourt, lait fermenté ou spécialité laitière, aux céréales;74,1;3,57;11,3;3,43;9,9;1;2,22;0,11
Yaourt, lait fermenté ou spécialité laitière, aux copeaux de chocolat, à la crème, sucré;74,2;3,44;14,1;5,1;14;< 3;3,3;0,085
Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG;88,5;4,13;3,72;< 0,3;3,72;< 3;< 0,01;0,12
Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG, enrichi en vitamine D;87;4,45;7,45;0,097;6,31;0,66;0,042;0,16
Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré;77,8;3,54;14,2;2,4;13,6;0,22;1,54;0,12
Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, à la crème;77,1;2,38;14,5;4,28;13,7;0,21;2,84;0,093
Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, enrichi en vitamine D;78,9;3,44;14;2,35;12,7;0,1;1,45;0,11
Yaourt, lait fermenté ou spécialité laitière, nature;88,6;3,88;2,65;1,5;2,65;< 3;1;0,11
Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG;88,9;4,73;4,1;0,064;4,1;traces;0,041;0,14
Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, enrichi en vitamine D;-;4,5;5;0;4,8;< 0,5;< 0,1;0,14
Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, sucré, enrichi en vitamine D;-;4,33;5,4;1,17;5,13;< 0,13;0,59;0,17
Yaourt, lait fermenté ou spécialité laitière, nature, à la crème;82,6;3;3,08;9,8;3,08;traces;6,51;0,088
Yaourt, lait fermenté ou spécialité laitière, nature, sucré;80,2;3,41;12,5;1,95;12,5;traces;1,29;0,12
Yaourt ou spécialité laitière nature (aliment moyen);86,5;3,8;4,73;2,3;4,67;0,86;1,53;0,11
Yaourt ou spécialité laitière nature ou aux fruits (aliment moyen);84;3,57;7,47;2,5;7,24;0,71;1,65;0,11
Yaourt ou spécialité laitière aux fruits (aliment moyen);79,1;3,14;12,8;2,89;12,2;0,43;1,89;0,11
Spécialité laitière type encas, riche en protéines, sur lit de fruits, sucrée;76,3;7,31;11,5;2,29;11,3;0;1,56;0,083
Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, 0% MG (aliment moyen);87,7;4,2;4,92;0,13;4,01;1,12;0,015;0,12
Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, non allégé en MG (aliment moyen);79;3,17;12,9;2,81;12,5;0,27;1,88;0,12
Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, avec édulcorants (aliment moyen);87,7;4,2;4,92;0,13;4,01;1,12;0,015;0,12
Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, sucré (aliment moyen);78,8;3,18;13;2,83;12,6;0,27;1,9;0,12
Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, sucré, non allégé en MG (aliment moyen);78,8;3,18;13;2,83;12,6;0,27;1,9;0,12
Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits (aliment moyen);79,5;3,25;12,4;2,63;12;0,33;1,76;0,12
Lait fermenté à boire, nature, maigre;90,6;3,44;2,18;0,6;2,18;< 3;0,39;0,088
Lait fermenté à boire, nature, au lait entier;88,3;3,31;1,99;3,2;1,99;< 3;2,24;0,088
Yaourt à la grecque, nature;80,4;3,25;4,21;9,22;3,9;< 0,14;6,22;0,097
Yaourt à la grecque, aromatisé, sucré;-;4,2;12,8;8,2;12,6;0;5,4;0,18
Kéfir de lait;87,6;3,13;4,5;3,5;3,62;0;2,33;0,12
Yaourt au lait de brebis, nature, 6% MG environ;-;5,04;4,56;6,08;2,8;< 1;4,8;0,1
Fromage blanc nature ou aux fruits (aliment moyen);81,5;6,95;5,68;4,31;5;0,0048;2,81;0,11
Fromage frais type petit suisse, aromatisé chocolat, sucré;62,4;3,87;20,9;5,18;18,9;0,2;3,84;0,27
Faisselle au coulis de fruits;-;3,5;8,5;5;8,5;-;3,4;0,077
Faisselle, 0% MG;89,9;4,38;4,44;0;3,99;traces;0;0,11
Faisselle, 6% MG environ;84,7;4,38;3,57;5,5;3,57;traces;3,74;0,088
Fromage blanc et crème fouettée sur lit de fruits, sucré;72,1;4,5;16;7;15;traces;4,5;0,09
Fromage blanc nature, 0% MG;86,5;7,78;3,89;0,044;3,89;traces;0,027;0,11
Fromage blanc nature, 0% MG, enrichi en vitamine D;-;7,4;5;0,1;5;0;0,06;0,15
Fromage blanc nature, 3% MG environ;83,7;7,86;3,46;3,26;3,46;traces;2,12;0,11
Fromage blanc nature, 3% MG environ, au bifidus;-;7,04;3,94;3,28;3,88;0;2,06;0,11
Fromage blanc nature, 3% MG environ, enrichi en vitamine D;84;6,9;5,4;3,2;5,4;0;2,2;0,2
Fromage blanc nature, gourmand, 8% MG environ;79,5;6,07;5,25;7,65;3,33;traces;4,99;0,1
Fromage blanc ou spécialité laitière nature et crème fouetté, 10% MG environ;79,4;6,75;3,74;10,2;3,68;traces;6,63;0,13
Fromage blanc ou spécialité laitière, aromatisé, sucré, 0% MG;78,2;6,98;12,5;< 0,025;12,2;traces;< 0,033;0,1
Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ;77,3;6,26;13,1;2,65;12,4;traces;1,69;0,099
